행정구역,2022년07월_총인구수,2022년07월_세대수,2022년07월_세대당 인구,2022년07월_남자 인구수,2022년07월_여자 인구수,2022년07월_남여 비율
서울특별시  (1100000000),"9,493,211","4,469,392",2.12,"4,604,405","4,888,806",0.94
서울특별시 종로구 (1111000000),"143,547","73,756",1.95,"69,463","74,084",0.94
서울특별시 종로구 청운효자동(1111051500),"11,780","5,195",2.27,"5,401","6,379",0.85
서울특별시 종로구 사직동(1111053000),"9,292","4,669",1.99,"4,130","5,162",0.8
서울특별시 종로구 삼청동(1111054000),"2,380","1,187",2.01,"1,131","1,249",0.91
서울특별시 종로구 부암동(1111055000),"9,423","4,234",2.23,"4,491","4,932",0.91
서울특별시 종로구 평창동(1111056000),"17,973","7,439",2.42,"8,367","9,606",0.87
서울특별시 종로구 무악동(1111057000),"8,130","3,052",2.66,"3,774","4,356",0.87
서울특별시 종로구 교남동(1111058000),"9,942","4,437",2.24,"4,578","5,364",0.85
서울특별시 종로구 가회동(1111060000),"4,008","1,980",2.02,"1,845","2,163",0.85
서울특별시 종로구 종로1.2.3.4가동(1111061500),"7,196","5,299",1.36,"4,274","2,922",1.46
서울특별시 종로구 종로5.6가동(1111063000),"5,067","3,425",1.48,"2,689","2,378",1.13
서울특별시 종로구 이화동(1111064000),"7,218","4,367",1.65,"3,427","3,791",0.9
서울특별시 종로구 혜화동(1111065000),"16,347","9,300",1.76,"7,851","8,496",0.92
서울특별시 종로구 창신제1동(1111067000),"4,851","2,856",1.7,"2,593","2,258",1.15
서울특별시 종로구 창신제2동(1111068000),"7,834","4,046",1.94,"4,028","3,806",1.06
서울특별시 종로구 창신제3동(1111069000),"6,500","2,804",2.32,"3,199","3,301",0.97
서울특별시 종로구 숭인제1동(1111070000),"5,838","3,003",1.94,"2,821","3,017",0.94
서울특별시 종로구 숭인제2동(1111071000),"9,768","6,463",1.51,"4,864","4,904",0.99
서울특별시 중구 (1114000000),"122,138","64,040",1.91,"59,360","62,778",0.95
서울특별시 중구 소공동(1114052000),"2,230","1,298",1.72,"1,074","1,156",0.93
서울특별시 중구 회현동(1114054000),"4,722","2,699",1.75,"2,446","2,276",1.07
서울특별시 중구 명동(1114055000),"2,897","1,562",1.85,"1,267","1,630",0.78
서울특별시 중구 필동(1114057000),"4,047","2,504",1.62,"2,079","1,968",1.06
서울특별시 중구 장충동(1114058000),"4,664","2,873",1.62,"2,442","2,222",1.1
서울특별시 중구 광희동(1114059000),"5,289","3,460",1.53,"2,676","2,613",1.02
서울특별시 중구 을지로동(1114060500),"1,739","1,353",1.29,"1,055",684,1.54
서울특별시 중구 신당동(1114061500),"7,753","4,860",1.6,"3,797","3,956",0.96
서울특별시 중구 다산동(1114062500),"13,720","6,934",1.98,"6,648","7,072",0.94
서울특별시 중구 약수동(1114063500),"16,544","7,851",2.11,"7,667","8,877",0.86
서울특별시 중구 청구동(1114064500),"13,431","6,286",2.14,"6,377","7,054",0.9
서울특별시 중구 신당제5동(1114065000),"10,272","5,380",1.91,"4,981","5,291",0.94
서울특별시 중구 동화동(1114066500),"10,163","4,063",2.5,"4,883","5,280",0.92
서울특별시 중구 황학동(1114067000),"12,643","7,216",1.75,"5,992","6,651",0.9
서울특별시 중구 중림동(1114068000),"12,024","5,701",2.11,"5,976","6,048",0.99
서울특별시 용산구 (1117000000),"222,262","111,948",1.99,"106,743","115,519",0.92
서울특별시 용산구 후암동(1117051000),"16,602","8,440",1.97,"8,096","8,506",0.95
서울특별시 용산구 용산2가동(1117052000),"9,309","5,221",1.78,"4,481","4,828",0.93
서울특별시 용산구 남영동(1117053000),"7,254","5,146",1.41,"4,409","2,845",1.55
서울특별시 용산구 청파동(1117055500),"19,339","11,202",1.73,"9,011","10,328",0.87
서울특별시 용산구 원효로제1동(1117056000),"16,684","8,899",1.87,"7,796","8,888",0.88
서울특별시 용산구 원효로제2동(1117057000),"13,676","6,056",2.26,"6,435","7,241",0.89
서울특별시 용산구 효창동(1117058000),"10,731","4,693",2.29,"5,095","5,636",0.9
서울특별시 용산구 용문동(1117059000),"11,699","5,394",2.17,"5,617","6,082",0.92
서울특별시 용산구 한강로동(1117062500),"21,606","11,629",1.86,"10,256","11,350",0.9
서울특별시 용산구 이촌제1동(1117063000),"25,623","9,525",2.69,"12,026","13,597",0.88
서울특별시 용산구 이촌제2동(1117064000),"8,180","3,672",2.23,"3,823","4,357",0.88
서울특별시 용산구 이태원제1동(1117065000),"6,309","3,607",1.75,"3,093","3,216",0.96
서울특별시 용산구 이태원제2동(1117066000),"8,881","4,929",1.8,"4,087","4,794",0.85
서울특별시 용산구 한남동(1117068500),"20,237","10,894",1.86,"9,746","10,491",0.93
서울특별시 용산구 서빙고동(1117069000),"12,959","5,311",2.44,"6,216","6,743",0.92
서울특별시 용산구 보광동(1117070000),"13,173","7,330",1.8,"6,556","6,617",0.99
서울특별시 성동구 (1120000000),"283,618","134,387",2.11,"138,046","145,572",0.95
서울특별시 성동구 왕십리제2동(1120052000),"16,294","7,387",2.21,"7,879","8,415",0.94
서울특별시 성동구 왕십리도선동(1120053500),"26,578","12,115",2.19,"12,558","14,020",0.9
서울특별시 성동구 마장동(1120054000),"22,285","11,066",2.01,"10,961","11,324",0.97
서울특별시 성동구 사근동(1120055000),"12,134","8,206",1.48,"6,307","5,827",1.08
서울특별시 성동구 행당제1동(1120056000),"13,880","6,520",2.13,"6,672","7,208",0.93
서울특별시 성동구 행당제2동(1120057000),"23,132","9,236",2.5,"10,816","12,316",0.88
서울특별시 성동구 응봉동(1120058000),"15,178","6,033",2.52,"7,249","7,929",0.91
서울특별시 성동구 금호1가동(1120059000),"15,064","6,506",2.32,"7,175","7,889",0.91
서울특별시 성동구 금호2.3가동(1120061500),"22,464","10,058",2.23,"10,693","11,771",0.91
서울특별시 성동구 금호4가동(1120062000),"14,211","6,334",2.24,"6,733","7,478",0.9
서울특별시 성동구 옥수동(1120064500),"25,764","10,811",2.38,"11,969","13,795",0.87
서울특별시 성동구 성수1가제1동(1120065000),"16,359","7,751",2.11,"8,139","8,220",0.99
서울특별시 성동구 성수1가제2동(1120066000),"12,259","6,009",2.04,"6,011","6,248",0.96
서울특별시 성동구 성수2가제1동(1120067000),"15,560","8,108",1.92,"8,132","7,428",1.09
서울특별시 성동구 성수2가제3동(1120069000),"10,647","5,570",1.91,"5,333","5,314",1
서울특별시 성동구 송정동(1120072000),"10,279","5,535",1.86,"5,438","4,841",1.12
서울특별시 성동구 용답동(1120079000),"11,530","7,142",1.61,"5,981","5,549",1.08
서울특별시 광진구 (1121500000),"339,853","169,985",2,"163,882","175,971",0.93
서울특별시 광진구 화양동(1121571000),"23,787","18,457",1.29,"11,320","12,467",0.91
서울특별시 광진구 군자동(1121573000),"19,526","11,437",1.71,"9,669","9,857",0.98
서울특별시 광진구 중곡제1동(1121574000),"15,310","8,349",1.83,"7,390","7,920",0.93
서울특별시 광진구 중곡제2동(1121575000),"21,152","10,670",1.98,"9,973","11,179",0.89
서울특별시 광진구 중곡제3동(1121576000),"16,056","8,555",1.88,"7,963","8,093",0.98
서울특별시 광진구 중곡제4동(1121577000),"28,255","13,144",2.15,"13,812","14,443",0.96
서울특별시 광진구 능동(1121578000),"11,256","6,467",1.74,"5,193","6,063",0.86
서울특별시 광진구 광장동(1121581000),"34,350","11,882",2.89,"16,638","17,712",0.94
서울특별시 광진구 자양제1동(1121582000),"22,092","11,996",1.84,"10,727","11,365",0.94
서울특별시 광진구 자양제2동(1121583000),"24,179","10,950",2.21,"11,725","12,454",0.94
서울특별시 광진구 자양제3동(1121584000),"27,784","11,091",2.51,"13,285","14,499",0.92
서울특별시 광진구 자양제4동(1121584700),"18,047","10,200",1.77,"8,992","9,055",0.99
서울특별시 광진구 구의제1동(1121585000),"23,335","13,027",1.79,"11,124","12,211",0.91
서울특별시 광진구 구의제2동(1121586000),"26,276","11,603",2.26,"12,632","13,644",0.93
서울특별시 광진구 구의제3동(1121587000),"28,448","12,157",2.34,"13,439","15,009",0.9
서울특별시 동대문구 (1123000000),"337,198","170,066",1.98,"166,236","170,962",0.97
서울특별시 동대문구 용신동(1123053600),"32,720","19,611",1.67,"16,332","16,388",1
서울특별시 동대문구 제기동(1123054500),"24,530","13,585",1.81,"12,555","11,975",1.05
서울특별시 동대문구 전농제1동(1123056000),"28,844","14,828",1.95,"14,432","14,412",1
서울특별시 동대문구 전농제2동(1123057000),"18,391","7,628",2.41,"8,824","9,567",0.92
서울특별시 동대문구 답십리제1동(1123060000),"28,844","13,157",2.19,"13,900","14,944",0.93
서울특별시 동대문구 답십리제2동(1123061000),"28,020","12,586",2.23,"13,585","14,435",0.94
서울특별시 동대문구 장안제1동(1123065000),"38,100","18,458",2.06,"18,841","19,259",0.98
서울특별시 동대문구 장안제2동(1123066000),"32,432","14,126",2.3,"16,106","16,326",0.99
서울특별시 동대문구 청량리동(1123070500),"18,680","9,725",1.92,"9,312","9,368",0.99
서울특별시 동대문구 회기동(1123071000),"10,596","6,736",1.57,"5,099","5,497",0.93
서울특별시 동대문구 휘경제1동(1123072000),"14,034","7,830",1.79,"6,647","7,387",0.9
서울특별시 동대문구 휘경제2동(1123073000),"24,037","12,260",1.96,"12,003","12,034",1
서울특별시 동대문구 이문제1동(1123074000),"18,177","10,789",1.68,"9,047","9,130",0.99
서울특별시 동대문구 이문제2동(1123075000),"19,793","8,747",2.26,"9,553","10,240",0.93
서울특별시 중랑구 (1126000000),"388,307","188,269",2.06,"191,193","197,114",0.97
서울특별시 중랑구 면목제2동(1126052000),"24,135","12,325",1.96,"12,027","12,108",0.99
서울특별시 중랑구 면목제4동(1126054000),"18,760","9,076",2.07,"9,335","9,425",0.99
서울특별시 중랑구 면목제5동(1126055000),"14,777","6,468",2.28,"7,410","7,367",1.01
서울특별시 중랑구 면목본동(1126056500),"33,359","17,788",1.88,"16,491","16,868",0.98
서울특별시 중랑구 면목제7동(1126057000),"21,596","10,584",2.04,"10,824","10,772",1
서울특별시 중랑구 면목제3.8동(1126057500),"24,473","12,670",1.93,"12,151","12,322",0.99
서울특별시 중랑구 상봉제1동(1126058000),"23,758","10,240",2.32,"11,538","12,220",0.94
서울특별시 중랑구 상봉제2동(1126059000),"20,208","12,258",1.65,"9,735","10,473",0.93
서울특별시 중랑구 중화제1동(1126060000),"19,350","9,063",2.14,"9,518","9,832",0.97
서울특별시 중랑구 중화제2동(1126061000),"24,735","13,675",1.81,"12,688","12,047",1.05
서울특별시 중랑구 묵제1동(1126062000),"34,425","15,105",2.28,"16,519","17,906",0.92
서울특별시 중랑구 묵제2동(1126063000),"18,499","9,255",2,"9,071","9,428",0.96
서울특별시 중랑구 망우본동(1126065500),"35,586","17,624",2.02,"17,605","17,981",0.98
서울특별시 중랑구 망우제3동(1126066000),"16,149","8,276",1.95,"8,162","7,987",1.02
서울특별시 중랑구 신내1동(1126068000),"38,324","14,844",2.58,"18,515","19,809",0.93
서울특별시 중랑구 신내2동(1126069000),"20,173","9,018",2.24,"9,604","10,569",0.91
서울특별시 성북구 (1129000000),"433,583","198,258",2.19,"208,745","224,838",0.93
서울특별시 성북구 성북동(1129052500),"16,421","8,244",1.99,"7,645","8,776",0.87
서울특별시 성북구 삼선동(1129055500),"22,703","11,596",1.96,"10,778","11,925",0.9
서울특별시 성북구 동선동(1129057500),"15,441","9,747",1.58,"6,470","8,971",0.72
서울특별시 성북구 돈암제1동(1129058000),"14,469","6,097",2.37,"6,759","7,710",0.88
서울특별시 성북구 돈암제2동(1129059000),"23,642","8,567",2.76,"11,188","12,454",0.9
서울특별시 성북구 안암동(1129060000),"15,118","9,728",1.55,"7,634","7,484",1.02
서울특별시 성북구 보문동(1129061000),"16,385","8,145",2.01,"7,884","8,501",0.93
서울특별시 성북구 정릉제1동(1129062000),"18,046","7,386",2.44,"8,642","9,404",0.92
서울특별시 성북구 정릉제2동(1129063000),"22,853","9,919",2.3,"11,070","11,783",0.94
서울특별시 성북구 정릉제3동(1129064000),"15,300","8,198",1.87,"7,632","7,668",1
서울특별시 성북구 정릉제4동(1129065000),"24,658","10,892",2.26,"11,839","12,819",0.92
서울특별시 성북구 길음제1동(1129066000),"34,937","12,463",2.8,"16,550","18,387",0.9
서울특별시 성북구 길음제2동(1129068500),"21,479","8,605",2.5,"10,334","11,145",0.93
서울특별시 성북구 종암동(1129070500),"38,439","17,222",2.23,"19,020","19,419",0.98
서울특별시 성북구 월곡제1동(1129071500),"26,145","10,902",2.4,"12,611","13,534",0.93
서울특별시 성북구 월곡제2동(1129072500),"19,327","9,697",1.99,"9,303","10,024",0.93
서울특별시 성북구 장위제1동(1129076000),"24,085","10,764",2.24,"11,803","12,282",0.96
서울특별시 성북구 장위제2동(1129077000),"13,640","6,728",2.03,"6,700","6,940",0.97
서울특별시 성북구 장위제3동(1129078000),"15,710","6,445",2.44,"7,686","8,024",0.96
서울특별시 성북구 석관동(1129081000),"34,785","16,913",2.06,"17,197","17,588",0.98
서울특별시 강북구 (1130500000),"296,489","145,198",2.04,"144,107","152,382",0.95
서울특별시 강북구 삼양동(1130553400),"23,303","11,083",2.1,"11,631","11,672",1
서울특별시 강북구 미아동(1130553500),"21,320","11,671",1.83,"10,235","11,085",0.92
서울특별시 강북구 송중동(1130554500),"29,568","14,121",2.09,"14,219","15,349",0.93
서울특별시 강북구 송천동(1130555500),"25,897","13,479",1.92,"12,801","13,096",0.98
서울특별시 강북구 삼각산동(1130557500),"30,855","11,502",2.68,"14,821","16,034",0.92
서울특별시 강북구 번1동(1130559500),"18,376","10,466",1.76,"9,259","9,117",1.02
서울특별시 강북구 번2동(1130560300),"15,504","7,556",2.05,"7,488","8,016",0.93
서울특별시 강북구 번3동(1130560800),"16,567","7,444",2.23,"7,748","8,819",0.88
서울특별시 강북구 수유1동(1130561500),"20,537","10,560",1.94,"10,100","10,437",0.97
서울특별시 강북구 수유2동(1130562500),"21,066","9,875",2.13,"10,023","11,043",0.91
서울특별시 강북구 수유3동(1130563500),"23,104","13,363",1.73,"11,456","11,648",0.98
서울특별시 강북구 우이동(1130564500),"20,426","9,681",2.11,"9,858","10,568",0.93
서울특별시 강북구 인수동(1130566000),"29,966","14,397",2.08,"14,468","15,498",0.93
서울특별시 도봉구 (1132000000),"314,662","139,225",2.26,"152,937","161,725",0.95
서울특별시 도봉구 창제1동(1132051100),"24,424","10,980",2.22,"11,629","12,795",0.91
서울특별시 도봉구 창제2동(1132051200),"28,851","12,633",2.28,"14,015","14,836",0.94
서울특별시 도봉구 창제3동(1132051300),"13,708","6,554",2.09,"6,850","6,858",1
서울특별시 도봉구 창제4동(1132051400),"26,289","10,689",2.46,"12,635","13,654",0.93
서울특별시 도봉구 창제5동(1132051500),"24,405","10,279",2.37,"11,662","12,743",0.92
서울특별시 도봉구 도봉제1동(1132052100),"20,800","10,401",2,"10,429","10,371",1.01
서울특별시 도봉구 도봉제2동(1132052200),"26,441","11,800",2.24,"12,932","13,509",0.96
서울특별시 도봉구 쌍문제1동(1132066000),"21,250","9,463",2.25,"10,214","11,036",0.93
서울특별시 도봉구 쌍문제2동(1132067000),"18,611","8,625",2.16,"8,852","9,759",0.91
서울특별시 도봉구 쌍문제3동(1132068000),"16,890","8,268",2.04,"8,142","8,748",0.93
서울특별시 도봉구 쌍문제4동(1132068100),"18,422","7,115",2.59,"8,684","9,738",0.89
서울특별시 도봉구 방학제1동(1132069000),"28,429","13,041",2.18,"14,118","14,311",0.99
서울특별시 도봉구 방학제2동(1132070000),"19,415","9,396",2.07,"9,819","9,596",1.02
서울특별시 도봉구 방학제3동(1132071000),"26,727","9,981",2.68,"12,956","13,771",0.94
서울특별시 노원구 (1135000000),"507,575","218,652",2.32,"244,138","263,437",0.93
서울특별시 노원구 월계1동(1135056000),"21,195","10,147",2.09,"10,945","10,250",1.07
서울특별시 노원구 월계2동(1135057000),"26,145","11,847",2.21,"12,566","13,579",0.93
서울특별시 노원구 월계3동(1135058000),"29,536","12,967",2.28,"14,092","15,444",0.91
서울특별시 노원구 공릉1동(1135059500),"36,695","18,537",1.98,"17,848","18,847",0.95
서울특별시 노원구 공릉2동(1135060000),"41,833","17,727",2.36,"20,371","21,462",0.95
서울특별시 노원구 하계1동(1135061100),"26,683","12,080",2.21,"12,767","13,916",0.92
서울특별시 노원구 하계2동(1135061200),"21,697","8,193",2.65,"10,312","11,385",0.91
서울특별시 노원구 중계본동(1135061900),"23,618","8,338",2.83,"11,485","12,133",0.95
서울특별시 노원구 중계1동(1135062100),"26,471","8,942",2.96,"12,887","13,584",0.95
서울특별시 노원구 중계4동(1135062400),"19,650","8,305",2.37,"9,440","10,210",0.92
서울특별시 노원구 중계2.3동(1135062500),"33,741","15,213",2.22,"15,481","18,260",0.85
서울특별시 노원구 상계1동(1135063000),"37,877","15,683",2.42,"18,293","19,584",0.93
서울특별시 노원구 상계2동(1135064000),"19,733","8,647",2.28,"9,703","10,030",0.97
서울특별시 노원구 상계3.4동(1135066500),"25,699","11,919",2.16,"12,798","12,901",0.99
서울특별시 노원구 상계5동(1135067000),"23,690","10,952",2.16,"11,495","12,195",0.94
서울특별시 노원구 상계6.7동(1135069500),"32,237","13,902",2.32,"14,892","17,345",0.86
서울특별시 노원구 상계8동(1135070000),"22,426","9,239",2.43,"10,711","11,715",0.91
서울특별시 노원구 상계9동(1135071000),"20,180","8,366",2.41,"9,500","10,680",0.89
서울특별시 노원구 상계10동(1135072000),"18,469","7,648",2.41,"8,552","9,917",0.86
서울특별시 은평구 (1138000000),"473,529","216,671",2.19,"226,065","247,464",0.91
서울특별시 은평구 녹번동(1138051000),"36,715","17,702",2.07,"17,326","19,389",0.89
서울특별시 은평구 불광제1동(1138052000),"38,274","17,855",2.14,"18,020","20,254",0.89
서울특별시 은평구 불광제2동(1138053000),"27,204","14,027",1.94,"13,109","14,095",0.93
서울특별시 은평구 갈현제1동(1138055100),"21,091","10,539",2,"10,303","10,788",0.96
서울특별시 은평구 갈현제2동(1138055200),"28,022","12,659",2.21,"13,292","14,730",0.9
서울특별시 은평구 구산동(1138056000),"32,100","13,492",2.38,"15,678","16,422",0.95
서울특별시 은평구 대조동(1138057000),"26,876","14,675",1.83,"12,480","14,396",0.87
서울특별시 은평구 응암제1동(1138058000),"32,920","15,029",2.19,"15,539","17,381",0.89
서울특별시 은평구 응암제2동(1138059000),"28,000","11,321",2.47,"13,554","14,446",0.94
서울특별시 은평구 응암제3동(1138060000),"24,155","12,574",1.92,"11,730","12,425",0.94
서울특별시 은평구 역촌동(1138062500),"44,982","20,948",2.15,"21,095","23,887",0.88
서울특별시 은평구 신사제1동(1138063100),"26,859","11,958",2.25,"12,915","13,944",0.93
서울특별시 은평구 신사제2동(1138063200),"19,630","8,812",2.23,"9,773","9,857",0.99
서울특별시 은평구 증산동(1138064000),"18,175","7,911",2.3,"8,875","9,300",0.95
서울특별시 은평구 수색동(1138065000),"13,174","5,569",2.37,"6,462","6,712",0.96
서울특별시 은평구 진관동(1138069000),"55,352","21,600",2.56,"25,914","29,438",0.88
서울특별시 서대문구 (1141000000),"305,716","145,662",2.1,"145,711","160,005",0.91
서울특별시 서대문구 천연동(1141052000),"16,966","7,739",2.19,"8,046","8,920",0.9
서울특별시 서대문구 북아현동(1141055500),"15,742","7,184",2.19,"7,552","8,190",0.92
서울특별시 서대문구 충현동(1141056500),"20,186","10,240",1.97,"9,694","10,492",0.92
서울특별시 서대문구 신촌동(1141058500),"20,336","14,687",1.38,"8,946","11,390",0.79
서울특별시 서대문구 연희동(1141061500),"34,780","18,731",1.86,"16,644","18,136",0.92
서울특별시 서대문구 홍제제1동(1141062000),"23,413","10,400",2.25,"10,946","12,467",0.88
서울특별시 서대문구 홍제제3동(1141064000),"17,754","8,079",2.2,"8,531","9,223",0.92
서울특별시 서대문구 홍제제2동(1141065500),"13,538","5,788",2.34,"6,338","7,200",0.88
서울특별시 서대문구 홍은제1동(1141066000),"22,772","9,878",2.31,"11,020","11,752",0.94
서울특별시 서대문구 홍은제2동(1141068500),"26,194","12,329",2.12,"12,592","13,602",0.93
서울특별시 서대문구 남가좌제1동(1141069000),"15,438","5,685",2.72,"7,393","8,045",0.92
서울특별시 서대문구 남가좌제2동(1141070000),"29,588","13,381",2.21,"14,256","15,332",0.93
서울특별시 서대문구 북가좌제1동(1141071000),"17,858","6,890",2.59,"8,576","9,282",0.92
서울특별시 서대문구 북가좌제2동(1141072000),"31,151","14,651",2.13,"15,177","15,974",0.95
서울특별시 마포구 (1144000000),"367,473","181,340",2.03,"172,551","194,922",0.89
서울특별시 마포구 아현동(1144055500),"25,233","10,539",2.39,"11,811","13,422",0.88
서울특별시 마포구 공덕동(1144056500),"37,051","18,670",1.98,"17,382","19,669",0.88
서울특별시 마포구 도화동(1144058500),"20,951","9,320",2.25,"9,985","10,966",0.91
서울특별시 마포구 용강동(1144059000),"21,389","9,327",2.29,"10,117","11,272",0.9
서울특별시 마포구 대흥동(1144060000),"14,607","8,857",1.65,"7,082","7,525",0.94
서울특별시 마포구 염리동(1144061000),"16,951","7,897",2.15,"8,125","8,826",0.92
서울특별시 마포구 신수동(1144063000),"22,436","10,105",2.22,"10,935","11,501",0.95
서울특별시 마포구 서강동(1144065500),"24,902","12,221",2.04,"11,893","13,009",0.91
서울특별시 마포구 서교동(1144066000),"24,899","15,609",1.6,"11,380","13,519",0.84
서울특별시 마포구 합정동(1144068000),"17,149","9,533",1.8,"7,942","9,207",0.86
서울특별시 마포구 망원제1동(1144069000),"19,723","10,314",1.91,"9,230","10,493",0.88
서울특별시 마포구 망원제2동(1144070000),"18,513","8,519",2.17,"8,656","9,857",0.88
서울특별시 마포구 연남동(1144071000),"14,809","8,620",1.72,"7,012","7,797",0.9
서울특별시 마포구 성산제1동(1144072000),"18,877","9,502",1.99,"8,849","10,028",0.88
서울특별시 마포구 성산제2동(1144073000),"39,500","19,549",2.02,"17,703","21,797",0.81
서울특별시 마포구 상암동(1144074000),"30,483","12,758",2.39,"14,449","16,034",0.9
서울특별시 양천구 (1147000000),"444,213","182,095",2.44,"217,475","226,738",0.96
서울특별시 양천구 목1동(1147051000),"30,534","10,408",2.93,"14,700","15,834",0.93
서울특별시 양천구 목2동(1147052000),"29,696","13,444",2.21,"14,419","15,277",0.94
서울특별시 양천구 목3동(1147053000),"21,852","10,174",2.15,"10,427","11,425",0.91
서울특별시 양천구 목4동(1147054000),"25,121","10,191",2.47,"12,293","12,828",0.96
서울특별시 양천구 목5동(1147055000),"40,790","13,432",3.04,"20,201","20,589",0.98
서울특별시 양천구 신월1동(1147056000),"20,356","10,322",1.97,"10,425","9,931",1.05
서울특별시 양천구 신월2동(1147057000),"20,534","8,508",2.41,"10,016","10,518",0.95
서울특별시 양천구 신월3동(1147058000),"14,960","7,933",1.89,"7,894","7,066",1.12
서울특별시 양천구 신월4동(1147059000),"17,748","6,895",2.57,"8,653","9,095",0.95
서울특별시 양천구 신월5동(1147060000),"14,468","6,477",2.23,"7,200","7,268",0.99
서울특별시 양천구 신월6동(1147061000),"13,717","5,326",2.58,"6,689","7,028",0.95
서울특별시 양천구 신월7동(1147061100),"19,303","9,131",2.11,"9,441","9,862",0.96
서울특별시 양천구 신정1동(1147062000),"19,979","7,041",2.84,"9,735","10,244",0.95
서울특별시 양천구 신정2동(1147063000),"19,138","6,943",2.76,"9,377","9,761",0.96
서울특별시 양천구 신정3동(1147064000),"50,346","19,749",2.55,"24,437","25,909",0.94
서울특별시 양천구 신정4동(1147065000),"32,698","16,397",1.99,"15,907","16,791",0.95
서울특별시 양천구 신정6동(1147067000),"24,336","8,267",2.94,"11,847","12,489",0.95
서울특별시 양천구 신정7동(1147068000),"28,637","11,457",2.5,"13,814","14,823",0.93
서울특별시 강서구 (1150000000),"572,814","274,595",2.09,"275,140","297,674",0.92
서울특별시 강서구 염창동(1150051000),"41,679","16,572",2.52,"20,119","21,560",0.93
서울특별시 강서구 등촌제1동(1150052000),"24,823","14,024",1.77,"11,472","13,351",0.86
서울특별시 강서구 등촌제2동(1150053000),"19,952","8,650",2.31,"9,705","10,247",0.95
서울특별시 강서구 등촌제3동(1150053500),"30,244","15,210",1.99,"14,316","15,928",0.9
서울특별시 강서구 화곡제1동(1150054000),"51,915","28,306",1.83,"25,243","26,672",0.95
서울특별시 강서구 화곡제2동(1150055000),"17,697","8,259",2.14,"8,568","9,129",0.94
서울특별시 강서구 화곡제3동(1150056000),"21,508","9,760",2.2,"10,252","11,256",0.91
서울특별시 강서구 화곡제4동(1150057000),"20,432","9,814",2.08,"10,008","10,424",0.96
서울특별시 강서구 화곡본동(1150059000),"34,107","17,551",1.94,"16,486","17,621",0.94
서울특별시 강서구 화곡제6동(1150059100),"25,133","13,107",1.92,"12,057","13,076",0.92
서울특별시 강서구 화곡제8동(1150059300),"24,358","11,979",2.03,"11,760","12,598",0.93
서울특별시 강서구 가양제1동(1150060300),"34,199","20,756",1.65,"15,586","18,613",0.84
서울특별시 강서구 가양제2동(1150060400),"13,985","8,143",1.72,"6,615","7,370",0.9
서울특별시 강서구 가양제3동(1150060500),"14,784","7,847",1.88,"6,874","7,910",0.87
서울특별시 강서구 발산제1동(1150061100),"36,240","13,541",2.68,"17,085","19,155",0.89
서울특별시 강서구 우장산동(1150061500),"42,571","16,173",2.63,"20,351","22,220",0.92
서울특별시 강서구 공항동(1150062000),"30,659","14,070",2.18,"15,460","15,199",1.02
서울특별시 강서구 방화제1동(1150063000),"42,736","17,368",2.46,"20,819","21,917",0.95
서울특별시 강서구 방화제2동(1150064000),"23,238","12,145",1.91,"11,452","11,786",0.97
서울특별시 강서구 방화제3동(1150064100),"22,554","11,320",1.99,"10,912","11,642",0.94
서울특별시 구로구 (1153000000),"394,745","182,427",2.16,"194,211","200,534",0.97
서울특별시 구로구 신도림동(1153051000),"35,961","13,911",2.59,"17,442","18,519",0.94
서울특별시 구로구 구로제1동(1153052000),"20,757","8,364",2.48,"10,155","10,602",0.96
서울특별시 구로구 구로제2동(1153053000),"23,465","12,550",1.87,"11,829","11,636",1.02
서울특별시 구로구 구로제3동(1153054000),"23,654","13,663",1.73,"12,189","11,465",1.06
서울특별시 구로구 구로제4동(1153055000),"19,413","10,603",1.83,"9,371","10,042",0.93
서울특별시 구로구 구로제5동(1153056000),"29,539","15,637",1.89,"14,269","15,270",0.93
서울특별시 구로구 가리봉동(1153059500),"9,029","6,136",1.47,"4,941","4,088",1.21
서울특별시 구로구 고척제1동(1153072000),"21,827","9,443",2.31,"10,866","10,961",0.99
서울특별시 구로구 고척제2동(1153073000),"26,421","11,504",2.3,"13,072","13,349",0.98
서울특별시 구로구 개봉제1동(1153074000),"33,594","14,971",2.24,"16,740","16,854",0.99
서울특별시 구로구 개봉제2동(1153075000),"30,539","12,553",2.43,"14,889","15,650",0.95
서울특별시 구로구 개봉제3동(1153076000),"20,169","8,873",2.27,"9,792","10,377",0.94
서울특별시 구로구 오류제1동(1153077000),"22,436","12,170",1.84,"10,829","11,607",0.93
서울특별시 구로구 오류제2동(1153078000),"38,259","15,778",2.42,"18,366","19,893",0.92
서울특별시 구로구 수궁동(1153079000),"23,205","9,994",2.32,"11,433","11,772",0.97
서울특별시 구로구 항동(1153080000),"16,477","6,277",2.62,"8,028","8,449",0.95
서울특별시 금천구 (1154500000),"231,522","119,809",1.93,"116,766","114,756",1.02
서울특별시 금천구 가산동(1154551000),"24,162","17,357",1.39,"13,040","11,122",1.17
서울특별시 금천구 독산제1동(1154561000),"45,837","24,215",1.89,"23,462","22,375",1.05
서울특별시 금천구 독산제2동(1154562000),"18,548","9,545",1.94,"9,370","9,178",1.02
서울특별시 금천구 독산제3동(1154563000),"24,286","12,975",1.87,"12,179","12,107",1.01
서울특별시 금천구 독산제4동(1154564000),"15,027","7,729",1.94,"7,555","7,472",1.01
