행정구역,2022년07월_총인구수,2022년07월_세대수,2022년07월_세대당 인구,2022년07월_남자 인구수,2022년07월_여자 인구수,2022년07월_남여 비율
전라남도 무안군 삼향읍남악출장소(4684025800),"35,024","14,415",2.43,"17,359","17,665",0.98
전라남도 무안군 몽탄면(4684032000),"3,041","1,866",1.63,"1,516","1,525",0.99
전라남도 무안군 청계면(4684033000),"6,273","3,658",1.71,"3,265","3,008",1.09
전라남도 무안군 현경면(4684034000),"4,520","2,783",1.62,"2,317","2,203",1.05
전라남도 무안군 망운면(4684035000),"1,899","1,104",1.72,979,920,1.06
전라남도 무안군 해제면(4684036000),"4,792","2,846",1.68,"2,449","2,343",1.05
전라남도 무안군 운남면(4684037000),"2,844","1,637",1.74,"1,464","1,380",1.06
전라남도 함평군 (4686000000),"30,977","18,027",1.72,"15,600","15,377",1.01
전라남도 함평군 함평읍(4686025000),"8,168","4,282",1.91,"4,030","4,138",0.97
전라남도 함평군 손불면(4686031000),"3,288","1,949",1.69,"1,673","1,615",1.04
전라남도 함평군 신광면(4686032000),"1,770","1,091",1.62,882,888,0.99
전라남도 함평군 학교면(4686033000),"3,645","2,225",1.64,"1,828","1,817",1.01
전라남도 함평군 엄다면(4686034000),"1,853","1,139",1.63,906,947,0.96
전라남도 함평군 대동면(4686035000),"3,086","1,872",1.65,"1,591","1,495",1.06
전라남도 함평군 나산면(4686036000),"2,769","1,705",1.62,"1,375","1,394",0.99
전라남도 함평군 해보면(4686037000),"2,758","1,623",1.7,"1,401","1,357",1.03
전라남도 함평군 월야면(4686038000),"3,640","2,141",1.7,"1,914","1,726",1.11
전라남도 영광군 (4687000000),"52,292","27,547",1.9,"26,118","26,174",1
전라남도 영광군 영광읍(4687025000),"22,108","10,370",2.13,"10,873","11,235",0.97
전라남도 영광군 백수읍(4687025300),"4,564","2,680",1.7,"2,255","2,309",0.98
전라남도 영광군 홍농읍(4687025600),"6,617","3,419",1.94,"3,496","3,121",1.12
전라남도 영광군 대마면(4687031000),"1,714","1,046",1.64,894,820,1.09
전라남도 영광군 묘량면(4687032000),"1,743","1,007",1.73,870,873,1
전라남도 영광군 불갑면(4687033000),"1,343",760,1.77,672,671,1
전라남도 영광군 군서면(4687034000),"2,293","1,269",1.81,"1,167","1,126",1.04
전라남도 영광군 군남면(4687035000),"2,334","1,422",1.64,"1,123","1,211",0.93
전라남도 영광군 염산면(4687036000),"3,898","2,411",1.62,"1,901","1,997",0.95
전라남도 영광군 법성면(4687037000),"5,087","2,748",1.85,"2,503","2,584",0.97
전라남도 영광군 낙월면(4687038000),393,281,1.4,246,147,1.67
전라남도 영광군 낙월면안마출장소(4687038500),198,134,1.48,118,80,1.48
전라남도 장성군 (4688000000),"43,231","23,286",1.86,"22,176","21,055",1.05
전라남도 장성군 장성읍(4688025000),"13,325","6,665",2,"6,616","6,709",0.99
